中国大陆,剧情 / 奇幻 / 古装,15367人,07月,画皮Ⅲ
中国大陆,喜剧 / 爱情,3233人,07月,皮皮虾总裁
中国大陆,奇幻,473人,07月,八仙过海
中国大陆,爱情 / 奇幻 / 古装,3741人,08月08日,诛仙
中国大陆,悬疑 / 惊悚 / 恐怖,645人,08月09日,凌晨两点半2
中国大陆,喜剧 / 动画 / 家庭,21人,08月,魔法鼠乐园
中国大陆,剧情 / 传记,1880人,09月30日,中国机长
中国大陆,奇幻 / 冒险,33461人,10月01日,摸金校尉之九幽将军
中国大陆,剧情,454人,10月01日,我和我的祖国
中国大陆,剧情 / 历史 / 战争,477人,10月,解放了
中国大陆,喜剧 / 悬疑,41648人,2020年01月25日,唐人街探案3
中国大陆,剧情 / 喜剧,5302人,2020年01月25日,囧妈
中国大陆,剧情 / 悬疑,3591人,2020年10月01日,黑色假面
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
upcoming_area,upcoming_kind,upcoming_love_num,upcoming_release_time,upcoming_title
西班牙,科幻 / 悬疑 / 惊悚,39224人,03月28日,海市蜃楼
美国,奇幻 / 冒险,20754人,03月29日,小飞象
中国大陆,喜剧,13848人,03月29日,人间·喜剧
泰国 / 中国大陆,动作,3144人,03月29日,三重威胁之跨国大营救
西班牙,剧情 / 惊悚,1706人,03月29日,警告
中国大陆,剧情,794人,03月29日,似水流年
德国 / 英国,喜剧 / 动画 / 家庭,718人,03月29日,精灵怪物：疯狂之旅
中国大陆,悬疑 / 惊悚,16人,03月29日,劫数难逃
印度,喜剧 / 犯罪 / 悬疑,74564人,04月03日,调音师
中国大陆,剧情 / 犯罪 / 悬疑,88234人,04月04日,风中有朵雨做的云
香港 / 中国大陆,动作 / 犯罪,3456人,04月04日,反贪风暴4
中国大陆,惊悚,680人,04月04日,守灵
中国大陆,剧情 / 爱情,433人,04月04日,A测试
美国,动作 / 奇幻 / 冒险,28168人,04月05日,雷霆沙赞！
香港 / 中国大陆,喜剧 / 动画 / 家庭,13576人,04月05日,麦兜·我和我妈妈
中国大陆,传记 / 历史,546人,04月05日,长官传奇
中国大陆,喜剧 / 动画,452人,04月05日,悟空圣诞奇遇记
中国大陆,儿童 / 动画 / 冒险,328人,04月05日,功夫四侠：勇闯地宫
新西兰 / 中国大陆,儿童 / 动作 / 奇幻,322人,04月05日,源·彩虹
中国大陆,喜剧 / 动画 / 冒险,28人,04月05日,青蛙王子历险记
中国大陆,剧情,1272人,04月11日,难以置信
中国大陆 / 日本,爱情,10107人,04月12日,在乎你
中国大陆,剧情 / 喜剧,3267人,04月12日,我的宠物是大象
中国大陆,犯罪 / 悬疑,1656人,04月12日,秦明·生死语者
中国大陆,剧情 / 犯罪 / 悬疑,661人,04月12日,欲念游戏
中国大陆,悬疑 / 惊悚,116人,04月12日,原来如此
中国大陆,喜剧 / 爱情 / 奇幻,27人,04月12日,菲凡记忆
中国大陆,剧情,7人,04月12日,暗语者
法国 / 卢森堡,喜剧 / 动画 / 冒险,297人,04月13日,虫林大作战
中国大陆,剧情 / 爱情,6515人,04月19日,如影随心
中国大陆,爱情 / 悬疑,4223人,04月19日,双生
香港 / 中国大陆,喜剧,3102人,04月19日,转型团伙
